OG1	OG2	direction	pvalue	qvalue	signif
OG0000575	OG0000496	42	6.535483652306002e-55	7.283904263858372e-50	TRUE
OG0000378	OG0000432	38	8.8710816004537e-55	9.810323525399223e-50	TRUE
OG0000434	OG0000490	40	1.0027984950742748e-54	1.1004410616780028e-49	TRUE
OG0000450	OG0000340	39	1.0383082947900895e-54	1.1307106788708172e-49	TRUE
OG0000821	OG0000781	59	1.5501627409952614e-54	1.6627314798707034e-49	TRUE
OG0000981	OG0000770	59	1.5501627409952614e-54	1.6627314798707034e-49	TRUE
OG0000825	OG0000850	61	1.6338582496121315e-54	1.7394263425192155e-49	TRUE
OG0000775	OG0000711	52	1.8292608639160728e-54	1.918815423112016e-49	TRUE
OG0000703	OG0000702	52	1.8292608639160728e-54	1.918815423112016e-49	TRUE
OG0000569	OG0000561	43	2.7305215756099206e-54	2.8432923159907545e-49	TRUE
OG0001277	OG0001268	53	2.913711261482012e-54	3.0120618960053593e-49	TRUE
OG0000695	OG0000903	47	3.2971435132099214e-54	3.383915553908543e-49	TRUE
OG0000796	OG0000699	53	3.542903921423265e-54	3.610171266727368e-49	TRUE
OG0000515	OG0000610	42	4.565758922393531e-54	4.619450628257431e-49	TRUE
OG0000763	OG0000644	51	4.796246290208828e-54	4.8184748651810065e-49	TRUE
OG0000466	OG0000448	41	6.636378771349964e-54	6.620512257097259e-49	TRUE
OG0000587	OG0000457	41	6.715200187811539e-54	6.652623382394718e-49	TRUE
OG0001523	OG0001479	36	7.212469153515769e-54	7.047378204615476e-49	TRUE
OG0000370	OG0000316	36	7.212469153515769e-54	7.047378204615476e-49	TRUE
OG0000857	OG0000943	70	9.074734498243863e-54	8.806697090280734e-49	TRUE
OG0000626	OG0000486	43	1.0408153930036347e-53	1.0032483569243631e-48	TRUE
OG0000997	OG0001005	86	1.0701161314174763e-53	1.024568756969992e-48	TRUE
OG0000747	OG0000771	53	1.1942257767199546e-53	1.1357732814676716e-48	TRUE
OG0000027	OG0001146	63	1.4528185499727874e-53	1.3725585994176052e-48	TRUE
OG0000807	OG0000693	51	1.4655604273356368e-53	1.375487372726936e-48	TRUE
OG0000809	OG0000181	44	1.7249631035714067e-53	1.608365857354452e-48	TRUE
OG0001277	OG0001264	54	1.747413475139202e-53	1.6187188555317566e-48	TRUE
OG0000187	OG0000705	46	1.815328626462131e-53	1.6707829089031198e-48	TRUE
OG0000732	OG0000753	52	1.9617613759001063e-53	1.793981859980184e-48	TRUE
OG0000443	OG0000461	39	2.1160807475841773e-53	1.9227775799856425e-48	TRUE
OG0000503	OG0000563	43	2.216641087812901e-53	2.0014039755426107e-48	TRUE
OG0000538	OG0000354	42	2.6483625286417296e-53	2.376165993275786e-48	TRUE
OG0000470	OG0000515	40	2.7172297065259047e-53	2.4227178398052515e-48	TRUE
OG0000569	OG0000581	44	2.8242137738090003e-53	2.502465833587326e-48	TRUE
OG0001304	OG0001204	50	3.165312413886435e-53	2.7873918921270164e-48	TRUE
OG0000734	OG0000947	53	3.384562873585595e-53	2.962180016698711e-48	TRUE
OG0000662	OG0000760	51	3.4710523565008615e-53	3.0193522493259706e-48	TRUE
OG0000896	OG0000817	53	5.975343823758008e-53	5.166250039378731e-48	TRUE
OG0000709	OG0000642	49	7.224576786172927e-53	6.208701625694602e-48	TRUE
OG0000554	OG0000685	45	7.57492542073271e-53	6.470805652171755e-48	TRUE
OG0000728	OG0000839	56	1.0092874861624928e-52	8.570419358487642e-48	TRUE
OG0000827	OG0000584	57	1.3575509497864011e-52	1.1459506078416142e-47	TRUE
OG0000528	OG0000495	41	1.4100410210345075e-52	1.1832575710779595e-47	TRUE
OG0000670	OG0000645	49	1.6198082438812004e-52	1.35133791014334e-47	TRUE
OG0000440	OG0000393	40	1.873071692375672e-52	1.5535399274931095e-47	TRUE
OG0000627	OG0000527	44	2.0412224497610476e-52	1.6832192877022022e-47	TRUE
OG0000695	OG0000623	47	2.184050175377312e-52	1.790646380255723e-47	TRUE
OG0001046	OG0001027	92	3.559088108482407e-52	2.9013301878832867e-47	TRUE
OG0000888	OG0000724	52	3.904474364910456e-52	3.164800758190773e-47	TRUE
OG0000592	OG0000591	47	4.001909769570427e-52	3.2254513226974717e-47	TRUE
OG0001204	OG0001299	50	5.4010872984579484e-52	4.3287017187809935e-47	TRUE
OG0000796	OG0000785	55	5.609197879466447e-52	4.470377475422856e-47	TRUE
