OG_ID	ko_best	ko_best_definition	ko_support	n_genes	ko_rate
OG0001827	K01061	carboxymethylenebutenolidase [EC:3.1.1.45]	32	34	0.9411764705882353
OG0001830	K07301	cation:H+ antiporter	30	34	0.8823529411764706
OG0001831	K02083	allantoate deiminase [EC:3.5.3.9]	33	34	0.9705882352941176
OG0001840	K01004	phosphatidylcholine synthase [EC:2.7.8.24]	33	33	1
OG0001841	K03426	NAD+ diphosphatase [EC:3.6.1.22]	23	33	0.696969696969697
OG0001845	K06518	holin-like protein	33	33	1
OG0001850	K21071	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]	31	32	0.96875
OG0001863	K01002	phosphoglycerol transferase [EC:2.7.8.20]	21	31	0.6774193548387096
OG0001864	K22522	cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]	23	31	0.7419354838709677
OG0001865	K07059	rhomboid family protein	31	31	1
OG0001875	K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	1	29	0.034482758620689655
OG0001876	K03828	putative acetyltransferase [EC:2.3.1.-]	1	29	0.034482758620689655
OG0001876	K16704	dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase [EC:2.3.1.210]	2	29	0.06896551724137931
OG0001878	K03939	NADH dehydrogenase (ubiquinone) Fe-S protein 6	8	29	0.27586206896551724
OG0001881	K06223	DNA adenine methylase [EC:2.1.1.72]	29	29	1
OG0001886	K02193	heme exporter protein A [EC:7.6.2.5]	3	28	0.10714285714285714
OG0001890	K07257	spore coat polysaccharide biosynthesis protein SpsF	1	28	0.03571428571428571
OG0001892	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	1	28	0.03571428571428571
OG0001893	K15256	tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-]	27	28	0.9642857142857143
OG0001904	K06001	tryptophan synthase beta chain [EC:4.2.1.20]	27	27	1
OG0001910	K05606	methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]	22	27	0.8148148148148148
OG0001916	K16554	polysaccharide biosynthesis transport protein [EC:2.7.10.3]	1	26	0.038461538461538464
OG0001918	K02004	putative ABC transport system permease protein	26	26	1
OG0001921	K07093	uncharacterized protein	26	26	1
OG0001922	K09691	lipopolysaccharide transport system ATP-binding protein	2	26	0.07692307692307693
OG0001923	K03745	SlyX protein	26	26	1
OG0001930	K01991	polysaccharide biosynthesis/export protein	24	25	0.96
OG0001932	K01915	glutamine synthetase [EC:6.3.1.2]	1	25	0.04
OG0001933	K01451	hippurate hydrolase [EC:3.5.1.32]	7	25	0.28
OG0001934	K07317	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	17	25	0.68
OG0001938	K06891	ATP-dependent Clp protease adaptor protein ClpS	25	25	1
OG0001939	K07397	putative redox protein	25	25	1
OG0001953	K03292	glycoside/pentoside/hexuronide:cation symporter, GPH family	24	24	1
OG0001954	K01174	micrococcal nuclease [EC:3.1.31.1]	21	24	0.875
OG0001954	K03932	polyhydroxybutyrate depolymerase	3	24	0.125
OG0001956	K09796	periplasmic copper chaperone A	24	24	1
OG0001957	K09950	uncharacterized protein	24	24	1
OG0001963	K00574	cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]	23	23	1
OG0001969	K06320	spore maturation protein CgeB	1	23	0.043478260869565216
OG0001971	K19055	Ala-tRNA(Pro) deacylase [EC:3.1.1.-]	23	23	1
OG0001972	K01673	carbonic anhydrase [EC:4.2.1.1]	22	23	0.9565217391304348
OG0001974	K13775	citronellol/citronellal dehydrogenase	23	23	1
OG0001981	K04079	molecular chaperone HtpG	23	23	1
OG0001982	K02907	large subunit ribosomal protein L30	23	23	1
OG0001987	K07116	acyl-homoserine-lactone acylase [EC:3.5.1.97]	21	23	0.9130434782608695
OG0001990	K00249	acyl-CoA dehydrogenase [EC:1.3.8.7]	23	23	1
OG0001992	K00958	sulfate adenylyltransferase [EC:2.7.7.4]	1	23	0.043478260869565216
OG0001995	K09690	lipopolysaccharide transport system permease protein	1	23	0.043478260869565216
OG0001998	K18587	ubiquinone biosynthesis protein COQ9	22	23	0.9565217391304348
OG0002000	K19882	O-palmitoleoyl-L-serine hydrolase [EC:3.1.1.98]	23	23	1
OG0002007	K02426	cysteine desulfuration protein SufE	5	22	0.22727272727272727
OG0002010	K11530	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase [EC:5.3.1.32]	17	22	0.7727272727272727
OG0002012	K07090	uncharacterized protein	12	22	0.5454545454545454
OG0002016	K09774	lipopolysaccharide export system protein LptA	20	22	0.9090909090909091
OG0002017	K11719	lipopolysaccharide export system protein LptC	16	22	0.7272727272727273
OG0002021	K26272	D-glutamate N-acetyltransferase [EC:2.3.1.-]	21	22	0.9545454545454546
OG0002026	K07588	GTPase [EC:3.6.5.-]	22	22	1
OG0002027	K00798	cob(I)alamin adenosyltransferase [EC:2.5.1.17]	22	22	1
OG0002030	K02194	heme exporter protein B	22	22	1
OG0002037	K01915	glutamine synthetase [EC:6.3.1.2]	22	22	1
OG0002038	K00154	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]	22	22	1
OG0002039	K03787	5'/3'-nucleotidase [EC:3.1.3.5 3.1.3.6]	22	22	1
OG0002041	K17879	peroxisomal coenzyme A diphosphatase NUDT7 [EC:3.6.1.-]	18	22	0.8181818181818182
OG0002042	K09986	uncharacterized protein	22	22	1
OG0002043	K07068	uncharacterized protein	22	22	1
